NOMBRE,EQUIPO,MJ,PJ,%PJ,PC,%PC,PT,%PT,PS,%PS,TA,TR,SA,G,PR,GPP,GE
LEANDRO CABRERA,RCD ESPANTO LICE BA...,1990,24,68.8,22,91.67,23,25.19,1,3.7,3,0,0,2,0,0,32
LIOCAS VÁZQUEZ,REAL MADRID,1568,23,92.44,11,47.82,18,64.2,7,25,3,0,0,1,0,0,24
LUIS MILLA,GELNE CF,2072,24,95.71,20,83.33,22,92.14,3,10.71,3,0,0,1,0,0,20
MAMADOU SITLLA,REAL VALLADOLID CF,1949,21,75,4,70.05,15,46.45,9,23.14,3,0,2,1,0,29,
MARCOS DO NASCIME...,SPULLA FC,461,11,30.29,3,27.37,5,17.86,2,7.14,3,1,1,0,0,0,15
MARTIN PARK,UD LAS PALMAS,504,15,46.45,2,15.38,6,21.43,4,14.29,3,0,0,0,0,10,
MATEJA MASTARO,COLESAMES,ESA,25,82.14,10,82.61,21,75,2,714,3,0,0,1,1,0,27
MIRIZL OPAIGZABAL,REAL SOCIEDAD,RGS,25,89.29,4,18,19,67.96,15,53.57,3,1,0,4,1,0,12
MORIZL DE LA FUSITE,COLESAMES,RGS,27,96.45,5,18.52,17,60.71,12,42.96,3,0,0,1,0,24,
MORIZL QUITÉREZ,GIROMA FO,218,25,89.29,20,90,25,89.29,5,17.86,3,0,0,1,0,23,
PABLO DURAN,RC GELTA,908,19,64.29,3,16.67,10,35.71,7,25,3,0,4,0,0,14,
PABLO MAFFEO,RCO MALLORCA,1768,22,79.57,14,63.54,21,75,7,25,3,0,0,0,0,21,
PAPE GUETE,VILLARREAL CF,1790,26,96.3,12,46.55,22,81.48,10,37.04,3,1,1,2,0,24,
PMI CUBARSI,FC BARCELONA,2198,27,100,17,62.06,24,58.89,7,25.93,3,0,0,0,0,23,
SAMUEL DIAS LINO,ATLÉTICO DE MADRID,1214,24,85.71,1,4.17,17,60.71,16,57.54,3,0,0,3,1,0,8
SANTIAGO MORRÍRO,DEPORTIVO ALAVÉS,1877,17,60.71,10,58.86,12,42.96,2,734,3,0,0,0,0,18,
SEREJATANRA,REAL BETIS,1600,24,85.71,7,29.17,17,60.71,10,35.71,3,0,0,0,1,0,27
SERELCAMOS,VALENCIA CF,252,16,53.14,0,0,2,734,2,734,3,0,0,0,0,0,
THERMIO BARRY,VILLARREAL CF,567,26,96.3,10,38.46,17,62.56,7,25.03,3,0,0,8,1,0,23
UMAR SAÑO,VALSINICA CF,650,16,54.57,2,13.35,6,21.45,4,14.39,3,0,0,4,0,0,10
YUN BEICHSCHE,ATHLETIC CLUB,1465,23,82.14,14,60.87,15,53.57,1,3.57,3,0,0,0,0,15,
ABDE EZZALZOLU,REAL BETIS,5022,25,80.2,2,8,10,67.86,17,60.71,2,0,0,1,1,0,24
ABEL BRETONES,CA OSASUNA,5002,26,96.3,9,34.65,14,51.85,5,18.52,2,0,0,2,0,0,28
ADAMA ZIKOU,REAL VALLADOLD OF,338,5,17.95,2,40,4,14.2,2,7.14,2,0,0,0,0,0,7
ADIMÁN SAN MIGUEL D...,REAL BETIS,810,9,32.14,9,100,9,32.14,0,0,2,0,0,0,0,0,12
ALEJANDRO BALDE,FC BARCELONA,19:00,24,98.99,13,54.07,22,81.48,9,33.33,2,0,0,0,18,,
ALESO VELIZ,INCO ESPANYOL DE BAL.,946,21,77.78,2,9.92,10,37.04,8,29.63,2,0,0,1,,,
ÁLVARO TERMÁNDEZ,SEVILLA FC,656,8,78.57,7,87.5,7,25,0,0,2,0,0,0,0,10,
ÁLVARO TLSERO,ROD ESPANTOL DE BA...,1192,23,85.1,4,17.3,15,48.35,9,33.33,2,0,0,1,0,0,22
ANTONE GREZMANN,ATLÉTICO DE MADRID,2033,28,100,8,28.57,24,85.71,16,57.14,2,0,0,8,0,15,
ATOR PAREDES,ATRE ETO CLUB,12:02,16,57.14,12,75,15,83.57,3,10.71,2,1,1,3,0,15,
BENTO RAMÍREZ,UD LAR PALMAS,376,17,60.71,0,0,1,3.57,1,3.57,2,1,0,0,0,8,
